epoch_idx	Accuracy	F1-score	Confusion_matrix
49	0.29523809523809524	0.14967818836616142	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [108   0   0   6 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
50	0.29523809523809524	0.14967818836616142	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [108   0   0   6 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
51	0.29523809523809524	0.14967818836616142	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [108   0   0   6 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
52	0.29523809523809524	0.14967818836616142	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [108   0   0   6 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
53	0.29523809523809524	0.14967818836616142	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [108   0   0   6 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
54	0.3	0.15774040774040773	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [102   0   0  12 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
55	0.3	0.15774040774040773	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [102   0   0  12 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
56	0.3047619047619048	0.16544695614463054	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 96   0   0  18 126   0]
 [ 18   0   0   0 246   0]
 [168   0   0   0  72   0]]"
57	0.3047619047619048	0.16524672510588	"[[120   0   0   0  90   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 96   0   0  18 126   0]
 [ 12   0   0   6 246   0]
 [168   0   0   0  72   0]]"
58	0.30952380952380953	0.16792245313372076	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 96   0   0  18 126   0]
 [ 12   0   0   6 246   0]
 [168   0   0   0  72   0]]"
59	0.30952380952380953	0.16792245313372076	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 96   0   0  18 126   0]
 [ 12   0   0   6 246   0]
 [168   0   0   0  72   0]]"
60	0.30952380952380953	0.16792245313372076	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 96   0   0  18 126   0]
 [ 12   0   0   6 246   0]
 [168   0   0   0  72   0]]"
61	0.3142857142857143	0.17516953573291602	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 90   0   0  24 126   0]
 [ 12   0   0   6 246   0]
 [168   0   0   0  72   0]]"
62	0.3142857142857143	0.17516953573291602	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 90   0   0  24 126   0]
 [ 12   0   0   6 246   0]
 [168   0   0   0  72   0]]"
63	0.3142857142857143	0.1745566028174724	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  24 132   0]
 [ 12   0   0   6 246   0]
 [162   0   0   6  72   0]]"
64	0.3142857142857143	0.17429960212755255	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  24 132   0]
 [  6   0   0  12 246   0]
 [162   0   0   6  72   0]]"
65	0.319047619047619	0.18098237457873534	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  30 126   0]
 [  6   0   0  12 246   0]
 [156   0   0  12  72   0]]"
66	0.319047619047619	0.18067235529968131	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  30 126   0]
 [  6   0   0  12 246   0]
 [150   0   0  18  72   0]]"
67	0.319047619047619	0.1803944582527847	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  30 126   0]
 [  6   0   0  12 246   0]
 [144   0   0  24  72   0]]"
68	0.319047619047619	0.18014726535853298	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  30 126   0]
 [  6   0   0  12 246   0]
 [138   0   0  30  72   0]]"
69	0.319047619047619	0.18014726535853298	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  30 126   0]
 [  6   0   0  12 246   0]
 [138   0   0  30  72   0]]"
70	0.319047619047619	0.18014726535853298	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  30 126   0]
 [  6   0   0  12 246   0]
 [138   0   0  30  72   0]]"
71	0.319047619047619	0.18014726535853298	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 84   0   0  30 126   0]
 [  6   0   0  12 246   0]
 [138   0   0  30  72   0]]"
72	0.3238095238095238	0.18621878648215207	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 78   0   0  36 126   0]
 [  6   0   0  12 246   0]
 [138   0   0  30  72   0]]"
73	0.32857142857142857	0.19208558694597735	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 72   0   0  42 126   0]
 [  6   0   0  12 246   0]
 [138   0   0  30  72   0]]"
74	0.3333333333333333	0.19414227747561083	"[[126   0   0   0  84   0]
 [ 90   0   0   0  60   0]
 [156   0   0   0   0   0]
 [ 72   0   0  42 126   0]
 [  0   0   0  12 252   0]
 [138   0   0  30  72   0]]"
75	0.3333333333333333	0.1938672132692489	"[[126   0   0   0  84   0]
 [ 84   0   0   0  66   0]
 [156   0   0   0   0   0]
 [ 72   0   0  42 126   0]
 [  0   0   0  12 252   0]
 [138   0   0  30  72   0]]"
76	0.3333333333333333	0.1938672132692489	"[[126   0   0   0  84   0]
 [ 84   0   0   0  66   0]
 [156   0   0   0   0   0]
 [ 72   0   0  42 126   0]
 [  0   0   0  12 252   0]
 [138   0   0  30  72   0]]"
77	0.3333333333333333	0.19360775452729476	"[[126   0   0   0  84   0]
 [ 84   0   0   0  66   0]
 [156   0   0   0   0   0]
 [ 66   0   0  42 132   0]
 [  0   0   0  12 252   0]
 [138   0   0  30  72   0]]"
78	0.3333333333333333	0.19360775452729476	"[[126   0   0   0  84   0]
 [ 84   0   0   0  66   0]
 [156   0   0   0   0   0]
 [ 66   0   0  42 132   0]
 [  0   0   0  12 252   0]
 [138   0   0  30  72   0]]"
79	0.3380952380952381	0.1993001385142524	"[[126   0   0   0  84   0]
 [ 84   0   0   0  66   0]
 [156   0   0   0   0   0]
 [ 60   0   0  48 132   0]
 [  0   0   0  12 252   0]
 [138   0   0  30  72   0]]"
